ID_obra,URL_img,Motivo
HF00825/021,https://content3.cdnprado.net/imagenes/Documentos/imgsem/09/09e1/09e178d2-2551-4463-a5d1-d15a99354fca/34f9b4f3-c9b6-4ca9-a50e-2893b14fd412_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/021.jpg.part'
HF00825/022,https://content3.cdnprado.net/imagenes/Documentos/imgsem/ae/ae51/ae519614-c803-4d8c-b111-5c1bbe85974c/d5e92c09-53fd-4de7-b0be-e31fd71d7981_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/022.jpg.part'
HF00825/023,https://content3.cdnprado.net/imagenes/Documentos/imgsem/03/03f7/03f7119a-33fc-47e3-b3d7-0caaff50f084/477614a4-f808-41db-b04c-e2afce6637b8_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/023.jpg.part'
HF00825/024,https://content3.cdnprado.net/imagenes/Documentos/imgsem/81/8152/8152a6f1-7907-4f9e-90cc-76ce0e157bfb/533db7fd-fa60-4584-a2ab-3ccc349f3bfe_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/024.jpg.part'
HF00825/025,https://content3.cdnprado.net/imagenes/Documentos/imgsem/71/71a8/71a83798-959e-4a39-b659-e7267725349e/8e4eb69c-4cb9-4ce7-9f79-062df8ca37eb_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/025.jpg.part'
HF00825/026,https://content3.cdnprado.net/imagenes/Documentos/imgsem/4d/4d4c/4d4c41e9-3190-446f-bbf5-a98d1b937dae/a5d1ab76-7492-4576-8f4b-67c01b2d6e57_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/026.jpg.part'
HF00825/027,https://content3.cdnprado.net/imagenes/Documentos/imgsem/9a/9a5a/9a5ade38-6ac9-433f-af72-ae000848b3b1/7cccd490-5f51-4c7c-86cc-11fcd83b3f83_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/027.jpg.part'
HF00825/028,https://content3.cdnprado.net/imagenes/Documentos/imgsem/9a/9a05/9a05b71d-3b62-4d27-8a1d-e41e37e11da6/b1449eb1-44db-494c-9136-ee0550e2d511_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/028.jpg.part'
HF00825/029,https://content3.cdnprado.net/imagenes/Documentos/imgsem/34/34e2/34e2c379-dcce-46d3-8176-d94ea5300092/c907034f-1f77-49ca-a641-5b422ce19cde_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/029.jpg.part'
HF00825/030,https://content3.cdnprado.net/imagenes/Documentos/imgsem/38/383b/383bb3a9-6bb4-49ea-ab01-2e360dba9fc4/6fa4f57e-9340-4a81-aecc-7e3a0e018752_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/030.jpg.part'
