ID_obra,URL_obra,URL_img
HF00005,https://www.museodelprado.es/coleccion/obra-de-arte/diogenes/528f1bc5-c2c4-4660-9aec-d167067c5fa2,https://content3.cdnprado.net/imagenes/Documentos/imgsem/52/528f/528f1bc5-c2c4-4660-9aec-d167067c5fa2/f67758da-79c2-4071-bfa7-42d666067418_832.jpg
HF00006,https://www.museodelprado.es/coleccion/obra-de-arte/pasatiempo-en-el-campamento-recuerdo-de-moldavia/567071d6-0e9d-4690-b15f-c9763d13df04,https://content3.cdnprado.net/imagenes/Documentos/imgsem/56/5670/567071d6-0e9d-4690-b15f-c9763d13df04/97687a49-4d2e-49ae-ba2e-66eb809e5a8a_832.jpg
HF00007,https://www.museodelprado.es/coleccion/obra-de-arte/albaneses-rezando/d9009d86-d4b9-4401-9930-5b8275b24d54,https://content3.cdnprado.net/imagenes/Documentos/imgsem/d9/d900/d9009d86-d4b9-4401-9930-5b8275b24d54/ce63f20b-e236-46b0-9457-a36f5585d791_832.jpg
HF00008,https://www.museodelprado.es/coleccion/obra-de-arte/rembrandt-en-su-taller/6434b428-e11a-4d7a-985c-0b9dee2217c0,https://content3.cdnprado.net/imagenes/Documentos/imgsem/64/6434/6434b428-e11a-4d7a-985c-0b9dee2217c0/9caf3830-4246-4fc9-b5d8-2324be2236bc_832.jpg
HF00009,https://www.museodelprado.es/coleccion/obra-de-arte/phryne-delante-del-tribunal/7f57e19d-d0f1-4e79-9a66-7ebd893a4df4,https://content3.cdnprado.net/imagenes/Documentos/imgsem/7f/7f57/7f57e19d-d0f1-4e79-9a66-7ebd893a4df4/5ef4eed9-5882-41de-b40d-9abd3124b479_832.jpg
HF00010,https://www.museodelprado.es/coleccion/obra-de-arte/lalmee/1d1e2e1b-9334-4502-87f9-3aedf9bfaf1c,https://content3.cdnprado.net/imagenes/Documentos/imgsem/1d/1d1e/1d1e2e1b-9334-4502-87f9-3aedf9bfaf1c/44db75e2-3876-4326-aeb5-a5c342eb5eb6_832.jpg
HF00011,https://www.museodelprado.es/coleccion/obra-de-arte/el-rey-candaule/2e2439ca-3723-463c-9bd1-3bb7cffa022d,https://content3.cdnprado.net/imagenes/Documentos/imgsem/2e/2e24/2e2439ca-3723-463c-9bd1-3bb7cffa022d/b4cb570c-7953-4422-b520-fc6fd7c0578f_832.jpg
HF00012,https://www.museodelprado.es/coleccion/obra-de-arte/la-oracion-en-el-desierto/2d987f5d-5f09-43f3-9b11-e4419a954c62,https://content3.cdnprado.net/imagenes/Documentos/imgsem/2d/2d98/2d987f5d-5f09-43f3-9b11-e4419a954c62/9a5b10c5-76d1-42a8-8ac8-e33a7034b84a_832.jpg
HF00013,https://www.museodelprado.es/coleccion/obra-de-arte/la-oracion/e887472e-fac1-441b-9fe4-5d34b9cdb011,https://content3.cdnprado.net/imagenes/Documentos/imgsem/e8/e887/e887472e-fac1-441b-9fe4-5d34b9cdb011/8b0f12a6-8388-47cc-996c-58af770c9e81_832.jpg
HF00014,https://www.museodelprado.es/coleccion/obra-de-arte/el-pastor-sirio/b2454265-7598-4eac-902c-6841a0972e8f,https://content3.cdnprado.net/imagenes/Documentos/imgsem/b2/b245/b2454265-7598-4eac-902c-6841a0972e8f/51fc2047-5baa-4f9b-afee-7ee96f80e940_832.jpg
HF00015,https://www.museodelprado.es/coleccion/obra-de-arte/pelea-de-gallos/38bddbdf-15fa-43b0-8b54-4d87f32eb2d9,https://content3.cdnprado.net/imagenes/Documentos/imgsem/38/38bd/38bddbdf-15fa-43b0-8b54-4d87f32eb2d9/86908596-be9a-473d-8be5-ddea5f09c58e_832.jpg
HF00016,https://www.museodelprado.es/coleccion/obra-de-arte/el-muecin/f1c43dbd-0f61-4ac7-8aa0-d68c97d315a6,https://content3.cdnprado.net/imagenes/Documentos/imgsem/f1/f1c4/f1c43dbd-0f61-4ac7-8aa0-d68c97d315a6/704b9927-d536-4c5a-ba28-edd199fc5dde_832.jpg
HF00017,https://www.museodelprado.es/coleccion/obra-de-arte/jovenes-griegos-en-la-mezquita/576920fa-e80d-4715-82f4-d1245574cfa2,https://content3.cdnprado.net/imagenes/Documentos/imgsem/57/5769/576920fa-e80d-4715-82f4-d1245574cfa2/407ee5da-c7d6-4c45-9330-c6f4121add08_832.jpg
HF00018,https://www.museodelprado.es/coleccion/obra-de-arte/cleopatra-y-cesar/63c8de1f-fb59-47ca-bc34-73ccf7fce5a2,https://content3.cdnprado.net/imagenes/Documentos/imgsem/63/63c8/63c8de1f-fb59-47ca-bc34-73ccf7fce5a2/37e61c0b-a15f-47fe-aadd-ff2a9e5a3215_832.jpg
HF00019,https://www.museodelprado.es/coleccion/obra-de-arte/la-mezquita-el-assaneyn-de-el-cairo/51cc2f31-b541-4569-a19f-4bf193229a66,https://content3.cdnprado.net/imagenes/Documentos/imgsem/51/51cc/51cc2f31-b541-4569-a19f-4bf193229a66/ad6fe6c9-5122-4c8e-baa7-3c6c5c7bf52b_832.jpg
HF00020,https://www.museodelprado.es/coleccion/obra-de-arte/trillado-del-trigo-en-egipto/55b15b53-09c0-4f21-ae10-5b38b224e1d6,https://content3.cdnprado.net/imagenes/Documentos/imgsem/55/55b1/55b15b53-09c0-4f21-ae10-5b38b224e1d6/9f3c834b-7e18-4214-b65c-ceb6490449cd_832.jpg
HF00021,https://www.museodelprado.es/coleccion/obra-de-arte/posta-de-perros-en-el-desierto/28deb908-4f7f-41f8-84de-f2d9f46fb2b0,https://content3.cdnprado.net/imagenes/Documentos/imgsem/28/28de/28deb908-4f7f-41f8-84de-f2d9f46fb2b0/b2c8891e-aa2e-46fc-80b7-1799438966fd_832.jpg
HF00022,https://www.museodelprado.es/coleccion/obra-de-arte/un-mercado-de-esclavos/88241e60-cdcd-4a26-9c6d-8528e539304b,https://content3.cdnprado.net/imagenes/Documentos/imgsem/88/8824/88241e60-cdcd-4a26-9c6d-8528e539304b/693b9f0a-ff7f-43ca-a6e9-bdcb66570134_832.jpg
HF00023,https://www.museodelprado.es/coleccion/obra-de-arte/luis-xiv-y-moliere/209d7e0f-9dbf-4f4d-adc8-86a29cc22de9,https://content3.cdnprado.net/imagenes/Documentos/imgsem/20/209d/209d7e0f-9dbf-4f4d-adc8-86a29cc22de9/8faff0bd-aa6a-43c2-9a0e-6e876f5a9b1a_832.jpg
